1	Here
2	is
3	a
4	basic
5	example
6	of
7	a
8	Markdown
9	document:
10	My
11	Markdown
12	Document
13	Introduction
14	This
15	is
16	a
17	simple
18	Markdown
19	document
20	that
21	demonstrates
22	the
23	basic
24	syntax
25	used
26	for
27	styling
28	text.
29	Formatting
30	Text
31	Bold
32	:
33	Use
34	**text**
35	or
36	__text__
37	for
38	bold
39	text.
40	Italic
41	:
42	Use
43	*text*
44	or
45	_text_
46	for
47	italic
48	text.
49	Strikethrough
50	:
51	Use
52	~~text~~
53	for
54	strikethrough
55	text.
56	Code
57	Blocks
58	You
59	can
60	create
61	code
62	blocks
63	using
64	backticks:
65	Lists
66	Unordered
67	List:
68	Item
69	1
70	Item
71	2
72	Subitem
73	2.1
74	Subitem
75	2.2
76	Ordered
77	List:
78	Step
79	1
80	Step
81	2
82	Step
83	3
84	Links
85	and
86	Images
87	You
88	can
89	add
90	links
91	and
92	images:
93	Blockquotes
94	This
95	is
96	a
97	blockquote,
98	often
99	used
100	to
101	highlight
102	important
103	text
104	or
105	quotes.
106	Tables
107	Column
108	1
109	Column
110	2
111	Column
112	3
113	Value
114	1
115	Value
116	2
117	Value
118	3
119	Value
120	4
121	Value
122	5
123	Value
124	6
125	Conclusion
126	Markdown
127	is
128	a
129	lightweight
130	and
131	easy-to-use
132	syntax
133	for
134	styling
135	text.
136	Itâ€™s
137	great
138	for
139	writing
140	documentation,
141	creating
142	simple
143	web
144	pages,
145	and
146	more!
147	This
148	example
149	covers
150	headings,
151	text
152	formatting,
153	code
154	blocks,
155	lists,
156	links,
157	images,
158	blockquotes,
159	and
160	tables.
161	Let
162	me
163	know
164	if
165	you
166	need
167	something
168	more
169	specific!
170	My
171	Markdown
172	Document
173	My
174	Markdown
175	Document
176	My
177	Markdown
178	Document
